sma_config,h1_structure,m15_structure,vol_roc_level,candle_level,trades,wins,win_rate,avg_r
BEAR,BEAR,BEAR,ELEVATED,NORMAL,111,74,66.7,1.22
BULL,BULL,BEAR,NORMAL,NORMAL,163,104,63.8,1.18
BEAR,BEAR,BEAR,ELEVATED,ABSORPTION,38,24,63.2,0.84
BULL,BULL,BEAR,ELEVATED,NORMAL,64,39,60.9,1.66
BULL,BULL,BULL,NORMAL,ABSORPTION,52,30,57.7,1.23
BEAR,BEAR,BULL,NORMAL,ABSORPTION,82,47,57.3,1.07
BEAR,BEAR,BEAR,NORMAL,ABSORPTION,210,118,56.2,0.84
BULL,BEAR,BEAR,ELEVATED,NORMAL,43,24,55.8,1.44
BULL,BULL,BULL,ELEVATED,NORMAL,45,24,53.3,1.36
BULL,BEAR,BULL,NORMAL,NORMAL,46,24,52.2,1.17
BULL,BULL,BEAR,NORMAL,ABSORPTION,88,45,51.1,0.69
BULL,BEAR,BEAR,NORMAL,ABSORPTION,158,80,50.6,0.78
BEAR,BEAR,BEAR,NORMAL,LOW,58,29,50.0,1.1
BULL,BEAR,BEAR,NORMAL,LOW,24,12,50.0,0.54
BEAR,BEAR,BULL,NORMAL,NORMAL,56,27,48.2,1.36
BULL,BEAR,BEAR,NORMAL,NORMAL,164,77,47.0,0.75
BEAR,BULL,BULL,ELEVATED,NORMAL,47,22,46.8,0.85
BULL,BULL,BULL,NORMAL,NORMAL,123,57,46.3,0.39
BEAR,BEAR,BULL,ELEVATED,ABSORPTION,26,12,46.2,1.46
BULL,BEAR,BULL,NORMAL,ABSORPTION,119,55,46.2,0.92
BEAR,BEAR,BULL,NORMAL,LOW,20,9,45.0,1.2
BEAR,BEAR,BEAR,NORMAL,NORMAL,206,91,44.2,0.54
BULL,BEAR,BULL,ELEVATED,NORMAL,25,11,44.0,0.68
BULL,BULL,BEAR,NORMAL,LOW,31,13,41.9,0.13
BEAR,BULL,BULL,NORMAL,NORMAL,126,51,40.5,0.3
BEAR,BULL,BEAR,NORMAL,NORMAL,112,44,39.3,0.54
BEAR,BULL,BULL,NORMAL,ABSORPTION,72,27,37.5,0.03
BULL,BEAR,BEAR,ELEVATED,ABSORPTION,23,8,34.8,0.65
BEAR,BULL,BEAR,ELEVATED,NORMAL,59,20,33.9,0.42
BEAR,BULL,BEAR,NORMAL,LOW,23,6,26.1,-0.09
BEAR,BEAR,BULL,ELEVATED,NORMAL,40,8,20.0,-0.03
BEAR,BULL,BEAR,NORMAL,ABSORPTION,62,10,16.1,-0.39
