ticker,ticker_id,price,previous_close,gap_percent,avg_daily_volume,premarket_volume,dollar_volume,atr,atr_percent,market_cap,fetch_time,pm_vol_ratio_score,atr_percent_score,dollar_vol_score,pm_vol_abs_score,price_atr_bonus,gap_magnitude_score,interest_score,rank,scan_time,ticker_list
FMC,FMC.103025,20.3,30.54,-33.5297969875573,1673120.3529411764,434863.0,48587415.04941176,0.8286028742132017,2.8533156825523474,,2025-10-30 12:05:41.695471+00:00,25.99113681424978,2.8533156825523474,100.0,93.97255760501159,100.0,0.0,45.51,1,2025-10-30 12:05:41.695471+00:00,sp500
CMG,CMG.103025,33.0001,40.26,-18.032538499751603,11069074.823529411,1585252.0,440106414.9835294,0.9837075110919217,2.4741134584806885,,2025-10-30 12:05:41.695471+00:00,14.321449852613222,2.4741134584806885,100.0,100.0,100.0,0.0,41.35,2,2025-10-30 12:05:41.695471+00:00,sp500
GOOGL,GOOGL.103025,299.12,267.47,11.833102777881622,23152043.29411765,2325724.0,6356856527.2658825,6.748177965925139,2.457725886267669,,2025-10-30 12:05:41.695471+00:00,10.045437331187559,2.457725886267669,100.0,100.0,100.0,0.0,39.63,3,2025-10-30 12:05:41.695471+00:00,sp500
GOOG,GOOG.103025,299.56,268.43,11.597064411578435,14415033.176470589,849179.0,3966584679.169412,6.64810316231566,2.415998532658233,,2025-10-30 12:05:41.695471+00:00,5.8909264349533395,2.415998532658233,100.0,98.81666261755277,100.0,0.0,37.84,4,2025-10-30 12:05:41.695471+00:00,sp500
AMD,AMD.103025,262.67,258.01,1.806131545288952,47323943.176470585,885945.0,12509137899.83647,10.427626652150781,3.9449274210837904,,2025-10-30 12:05:41.695471+00:00,1.872086179920212,3.9449274210837904,100.0,99.12345419441687,100.0,0.0,36.65,5,2025-10-30 12:05:41.695471+00:00,sp500
NVDA,NVDA.103025,206.495,201.03,2.718499726408995,137903028.7647059,3046063.0,28551443075.444706,6.290934787219642,3.0385117789893945,,2025-10-30 12:05:41.695471+00:00,2.208844161934456,3.0385117789893945,100.0,100.0,100.0,0.0,36.64,6,2025-10-30 12:05:41.695471+00:00,sp500
PLTR,PLTR.103025,199.65,189.6,5.300632911392411,32558566.23529412,511651.0,6472968553.238824,6.762413340824333,3.4014452697672817,,2025-10-30 12:05:41.695471+00:00,1.5714789045144142,3.4014452697672817,100.0,95.14957793471775,100.0,0.0,35.99,7,2025-10-30 12:05:41.695471+00:00,sp500
TSLA,TSLA.103025,458.78,460.55,-0.38432309195527925,62815329.294117644,398342.0,28989902622.528233,18.705762926853414,4.05316524600841,,2025-10-30 12:05:41.695471+00:00,0.6341477541809254,4.05316524600841,100.0,93.33761983001013,100.0,0.0,35.6,8,2025-10-30 12:05:41.695471+00:00,sp500
FI,FI.103025,69.79,126.17,-44.685741459935,8908340.588235294,445772.0,628928845.5294118,10.019042083036881,14.19127773801258,,2025-10-30 12:05:41.695471+00:00,5.003984699335633,14.19127773801258,100.0,94.15189600304225,0.0,0.0,34.96,9,2025-10-30 12:05:41.695471+00:00,sp500
INTC,INTC.103025,41.05,41.53,-1.1557909944618445,92992706.88235295,3861436.0,3844318502.5164714,2.201207394938878,5.324642948570097,,2025-10-30 12:05:41.695471+00:00,4.152407354788785,5.324642948570097,100.0,100.0,0.0,0.0,32.99,10,2025-10-30 12:05:41.695471+00:00,sp500
AMZN,AMZN.103025,228.67,229.25,-0.25299890948746456,32888209.588235293,321032.0,7574154668.1705885,4.445996688355057,1.930523963680007,,2025-10-30 12:05:41.695471+00:00,0.9761309722218473,1.930523963680007,100.0,91.77582795343926,0.0,0.0,30.05,11,2025-10-30 12:05:41.695471+00:00,sp500
